t;s
s;
0;-0,0006103515625
8,33333333333333E-5;0,004241943359375
0,000166666666666667;0,00933837890625
0,00025;0,01446533203125
0,000333333333333333;0,01959228515625
0,000416666666666667;0,024688720703125
0,0005;0,029693603515625
0,000583333333333333;0,03485107421875
0,000666666666666667;0,039794921875
0,00075;0,0447998046875
0,000833333333333333;0,04986572265625
0,000916666666666667;0,054779052734375
0,001;0,059783935546875
0,00108333333333333;0,064727783203125
0,00116666666666667;0,069610595703125
0,00125;0,074554443359375
0,00133333333333333;0,07940673828125
0,00141666666666667;0,08428955078125
0,0015;0,08929443359375
0,00158333333333333;0,0941162109375
0,00166666666666667;0,098846435546875
0,00175;0,10382080078125
0,00183333333333333;0,108642578125
0,00191666666666667;0,113494873046875
0,002;0,11822509765625
0,00208333333333333;0,1229248046875
0,00216666666666667;0,127655029296875
0,00225;0,13232421875
0,00233333333333333;0,136962890625
0,00241666666666667;0,141632080078125
0,0025;0,14617919921875
0,00258333333333333;0,150726318359375
0,00266666666666667;0,15521240234375
0,00275;0,159515380859375
0,00283333333333333;0,1639404296875
0,00291666666666667;0,1683349609375
0,003;0,17266845703125
0,00308333333333333;0,17694091796875
0,00316666666666667;0,18115234375
0,00325;0,185394287109375
0,00333333333333333;0,189605712890625
0,00341666666666667;0,193817138671875
0,0035;0,19793701171875
0,00358333333333333;0,202056884765625
0,00366666666666667;0,206146240234375
0,00375;0,21014404296875
0,00383333333333333;0,214111328125
0,00391666666666667;0,21807861328125
0,004;0,222015380859375
0,00408333333333333;0,2259521484375
0,00416666666666667;0,22991943359375
0,00425;0,233795166015625
0,00433333333333333;0,237548828125
0,00441666666666667;0,241424560546875
0,0045;0,24517822265625
0,00458333333333333;0,24896240234375
0,00466666666666667;0,2528076171875
0,00475;0,256500244140625
0,00483333333333333;0,26031494140625
0,00491666666666667;0,264068603515625
0,005;0,267669677734375
0,00508333333333333;0,271484375
0,00516666666666667;0,275177001953125
0,00525;0,27880859375
0,00533333333333333;0,282470703125
0,00541666666666667;0,286041259765625
0,0055;0,289581298828125
0,00558333333333333;0,2930908203125
0,00566666666666667;0,2965087890625
0,00575;0,299957275390625
0,00583333333333333;0,303314208984375
0,00591666666666667;0,30657958984375
0,006;0,309844970703125
0,00608333333333333;0,312957763671875
0,00616666666666667;0,316131591796875
0,00625;0,3192138671875
0,00633333333333333;0,322174072265625
0,00641666666666667;0,3251953125
0,0065;0,32806396484375
0,00658333333333333;0,3309326171875
0,00666666666666667;0,33380126953125
0,00675;0,336517333984375
0,00683333333333333;0,33929443359375
0,00691666666666667;0,342010498046875
0,007;0,3446044921875
0,00708333333333333;0,34722900390625
0,00716666666666667;0,349761962890625
0,00725;0,352142333984375
0,00733333333333333;0,354583740234375
0,00741666666666667;0,356903076171875
0,0075;0,35919189453125
0,00758333333333333;0,36138916015625
0,00766666666666667;0,36346435546875
0,00775;0,365570068359375
0,00783333333333333;0,367584228515625
0,00791666666666667;0,369598388671875
0,008;0,37152099609375
0,00808333333333333;0,373321533203125
0,00816666666666667;0,37518310546875
0,00825;0,376983642578125
0,00833333333333333;0,37860107421875
0,00841666666666667;0,380401611328125
0,0085;0,38201904296875
0,00858333333333333;0,383544921875
0,00866666666666667;0,385162353515625
0,00875;0,386627197265625
0,00883333333333333;0,388092041015625
0,00891666666666667;0,389434814453125
0,009;0,390777587890625
0,00908333333333333;0,392120361328125
0,00916666666666667;0,39337158203125
0,00925;0,394500732421875
0,00933333333333333;0,39569091796875
0,00941666666666667;0,3966064453125
0,0095;0,397705078125
0,00958333333333333;0,398681640625
0,00966666666666667;0,39959716796875
0,00975;0,40057373046875
0,00983333333333333;0,40142822265625
0,00991666666666667;0,402191162109375
0,01;0,403076171875
0,0100833333333333;0,40374755859375
0,0101666666666667;0,404510498046875
0,01025;0,4052734375
0,0103333333333333;0,405853271484375
0,0104166666666667;0,406402587890625
0,0105;0,406951904296875
0,0105833333333333;0,407379150390625
0,0106666666666667;0,407928466796875
0,01075;0,4083251953125
0,0108333333333333;0,408721923828125
0,0109166666666667;0,4090576171875
0,011;0,409271240234375
